,rmse,outlier,std,mAP50,mAP5095
model.decoder.layers.4.encoder_attn.q_proj,0.05686111091857865,0.013225640625,1.828725763139501,0.58,0.383
model.decoder.layers.4.encoder_attn.out_proj,0.004711736370587633,0.023723203125,0.32389251254827056,0.565,0.354
model.decoder.layers.4.fc1,0.029688338527367228,0.018633375,1.2275419332029325,0.58,0.382
model.decoder.layers.4.fc2,0.001759258664346167,0.004585892578125,0.042265935092221214,0.581,0.385
model.decoder.layers.5.self_attn.k_proj,0.022474947518536022,0.008597953125,1.3101405321924808,0.581,0.385
model.decoder.layers.5.self_attn.v_proj,0.011473640710825012,0.0172685,0.862815559056745,0.581,0.385
model.decoder.layers.5.self_attn.q_proj,0.02176610557805924,0.008597953125,1.3101405321924808,0.581,0.385
model.decoder.layers.5.self_attn.out_proj,0.0010772302713511245,0.0145399375,0.09504375646425363,0.581,0.385
model.decoder.layers.5.encoder_attn.k_proj,0.03124483763462021,0.01051709,0.6849893851218789,0.579,0.38
model.decoder.layers.5.encoder_attn.v_proj,0.01256608750138964,0.0242705925,0.4878336316751757,0.57,0.368
model.decoder.layers.5.encoder_attn.q_proj,0.0500059931405953,0.0123003359375,1.724668164285928,0.581,0.385
model.decoder.layers.5.encoder_attn.out_proj,0.0036633171673331943,0.024492859375,0.2484734199596742,0.563,0.351
model.decoder.layers.5.fc1,0.025207914678113803,0.017131625,1.1795946900098144,0.579,0.383
model.decoder.layers.5.fc2,0.0009465092527014869,0.0025171904296875,0.024890915689759874,0.58,0.385
class_labels_classifier,0.06444117888098672,0.017230125,1.0192243036047084,0.562,0.369
bbox_predictor.layers.0,0.0221298307712589,0.017230125,1.0192243036047084,0.525,0.298
bbox_predictor.layers.1,0.04084389976092747,0.0298488984375,0.8834049099365078,0.541,0.317
bbox_predictor.layers.2,0.09929132142237254,0.0297348359375,0.8407683696356781,0.49,0.242
